timestamp_et,market_title,outcome,side,size,price
2026-01-02 10:30:33,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Down,BUY,30,0.55
2026-01-02 10:30:59,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Up,BUY,27.8,0.49
2026-01-02 10:31:01,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Up,BUY,30,0.51
2026-01-02 10:31:03,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Up,BUY,30,0.52
2026-01-02 10:31:03,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Up,BUY,30,0.52
2026-01-02 10:31:03,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Up,BUY,30,0.52
2026-01-02 10:31:15,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Down,BUY,10,0.45
2026-01-02 10:31:59,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Down,BUY,30,0.42
2026-01-02 10:31:59,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Down,BUY,5,0.41
2026-01-02 10:32:07,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Down,BUY,30,0.44
2026-01-02 10:32:09,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Up,BUY,30,0.58
2026-01-02 10:32:09,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Up,BUY,30,0.58
2026-01-02 10:32:09,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Up,BUY,30,0.58
2026-01-02 10:32:09,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Up,BUY,30,0.58
2026-01-02 10:32:09,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Up,BUY,30,0.58
2026-01-02 10:32:13,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Up,BUY,4.79,0.66
2026-01-02 10:32:15,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Up,BUY,30,0.67
